UniProt1	UniProt2	symbol1	symbol2	evidence type
O00232	O15371	PSMD12	EIF3D	exp;pred
O00571	O15371	DDX3X	EIF3D	exp;pred
O14980	O15371	XPO1	EIF3D	exp
O15372	O15372	EIF3H	EIF3H	exp;pred
O00303	O15372	EIF3F	EIF3H	exp;pred
O00232	O15372	PSMD12	EIF3H	exp
O15371	O15372	EIF3D	EIF3H	exp;pred
B5ME19	O15372	EIF3CL	EIF3H	exp
O14980	O15372	XPO1	EIF3H	exp
O00571	O15372	DDX3X	EIF3H	exp;pred
O14744	O15379	PRMT5	HDAC3	exp
O15027	O15379	SEC16A	HDAC3	exp
O15379	O15379	HDAC3	HDAC3	exp
O14980	O15379	XPO1	HDAC3	exp;pred
O15105	O15379	SMAD7	HDAC3	exp;pred
O15156	O15379	ZBTB7B	HDAC3	exp
O15382	O15382	BCAT2	BCAT2	exp;pred
O15389	O15389	SIGLEC5	SIGLEC5	exp
O14965	O15392	AURKA	BIRC5	exp;pred
O14980	O15392	XPO1	BIRC5	exp;pred
O15392	O15392	BIRC5	BIRC5	exp;ortho
O00170	O15392	AIP	BIRC5	exp
O15355	O15397	PPM1G	IPO8	exp
O00505	O15397	KPNA3	IPO8	exp
O14641	O15397	DVL2	IPO8	exp
O00161	O15400	SNAP23	STX7	exp;pred
O14757	O15496	CHEK1	PLA2G10	exp
O14965	O15496	AURKA	PLA2G10	exp
O14818	O15503	PSMA7	INSIG1	exp
O15503	O15503	INSIG1	INSIG1	exp
O00264	O15503	PGRMC1	INSIG1	exp
O14980	O15504	XPO1	NUPL2	exp
A5YKK6	O15504	CNOT1	NUPL2	exp
O15516	O15516	CLOCK	CLOCK	exp
O15055	O15516	PER2	CLOCK	exp;ortho;pred
O00233	O15516	PSMD9	CLOCK	exp
O00327	O15516	ARNTL	CLOCK	exp;ortho;pred
O15519	O15519	CFLAR	CFLAR	exp
O14920	O15519	IKBKB	CFLAR	exp;pred
O00303	O15519	EIF3F	CFLAR	exp;pred
O14733	O15519	MAP2K7	CFLAR	exp;pred
O14763	O15519	TNFRSF10B	CFLAR	exp;pred
O00459	O15524	PIK3R2	SOCS1	exp;pred
O14508	O15524	SOCS2	SOCS1	exp;ortho;pred
O14867	O15525	BACH1	MAFG	exp;ortho;pred
O15525	O15525	MAFG	MAFG	exp;ortho
O15527	O15527	OGG1	OGG1	exp
O15273	O15530	TCAP	PDPK1	exp
O15530	O15530	PDPK1	PDPK1	exp
O00141	O15530	SGK1	PDPK1	exp;pred
O14980	O15530	XPO1	PDPK1	exp
O14543	O15530	SOCS3	PDPK1	exp
O15553	O15553	MEFV	MEFV	exp;pred
O15304	O15553	SIVA1	MEFV	exp;pred
O00214	O15553	LGALS8	MEFV	exp
O00429	O43167	DNM1L	ZBTB24	exp
O00505	O43167	KPNA3	ZBTB24	exp
O00483	O43181	NDUFA4	NDUFS4	exp;pred
O00232	O43242	PSMD12	PSMD3	exp;ortho;pred
O14818	O43242	PSMA7	PSMD3	exp;pred
O00487	O43242	PSMD14	PSMD3	exp;ortho;pred
O15344	O43242	MID1	PSMD3	exp
O00231	O43242	PSMD11	PSMD3	exp;ortho;pred
O00233	O43242	PSMD9	PSMD3	exp;pred
O43257	O43257	ZNHIT1	ZNHIT1	exp;ortho
O00541	O43290	PES1	SART1	exp
O43290	O43290	SART1	SART1	exp
O14974	O43293	PPP1R12A	DAPK3	exp;pred
O43293	O43293	DAPK3	DAPK3	exp;ortho
O15105	O43294	SMAD7	TGFB1I1	exp;pred
O14980	O43294	XPO1	TGFB1I1	exp
O00214	O43306	LGALS8	ADCY6	exp
O15530	O43318	PDPK1	MAP3K7	exp;pred
O14733	O43318	MAP2K7	MAP3K7	exp;pred
O15111	O43318	CHUK	MAP3K7	exp;pred
O14964	O43318	HGS	MAP3K7	exp;pred
O14920	O43318	IKBKB	MAP3K7	exp;ortho;pred
O43318	O43318	MAP3K7	MAP3K7	exp;ortho
O15105	O43318	SMAD7	MAP3K7	exp;pred
O00463	O43318	TRAF5	MAP3K7	exp;pred
O15304	O43318	SIVA1	MAP3K7	exp
O14543	O43318	SOCS3	MAP3K7	exp
O14980	O43318	XPO1	MAP3K7	exp;pred
O00743	O43318	PPP6C	MAP3K7	exp;ortho;pred
O14818	O43353	PSMA7	RIPK2	exp
O15519	O43353	CFLAR	RIPK2	exp;pred
O00463	O43353	TRAF5	RIPK2	exp;pred
O43318	O43353	MAP3K7	RIPK2	exp;ortho;pred
O15111	O43353	CHUK	RIPK2	exp;pred
O43353	O43353	RIPK2	RIPK2	exp
O00206	O43353	TLR4	RIPK2	exp;pred
O14733	O43379	MAP2K7	WDR62	exp
O14965	O43379	AURKA	WDR62	exp
O43379	O43379	WDR62	WDR62	exp
O14641	O43422	DVL2	THAP12	exp
O43422	O43422	THAP12	THAP12	exp
O43159	O43463	RRP8	SUV39H1	exp;pred
O43463	O43463	SUV39H1	SUV39H1	exp
O43167	O43463	ZBTB24	SUV39H1	exp
O15379	O43463	HDAC3	SUV39H1	exp;pred
O00257	O43463	CBX4	SUV39H1	exp;pred
O14965	O43474	AURKA	KLF4	exp
O15550	O43474	KDM6A	KLF4	exp
O15516	O43482	CLOCK	OIP5	exp
O00327	O43482	ARNTL	OIP5	exp
O43482	O43482	OIP5	OIP5	exp
O00233	O43482	PSMD9	OIP5	exp
O15047	O43491	SETD1A	EPB41L2	exp
O15273	O43504	TCAP	LAMTOR5	exp
O14964	O43513	HGS	MED7	exp
O14965	O43521	AURKA	BCL2L11	exp
O43521	O43521	BCL2L11	BCL2L11	exp
O14949	O43542	UQCRQ	XRCC3	exp
O00303	O43542	EIF3F	XRCC3	exp
O00165	O43542	HAX1	XRCC3	exp
O14980	O43542	XPO1	XRCC3	exp
O15379	O43593	HDAC3	HR	exp;pred
O43242	O43623	PSMD3	SNAI2	exp
O43638	O43638	FOXS1	FOXS1	exp
O00148	O43638	DDX39A	FOXS1	exp
O15169	O43639	AXIN1	NCK2	exp;ortho;pred
O15156	O43639	ZBTB7B	NCK2	exp
O15372	O43639	EIF3H	NCK2	exp
O14641	O43639	DVL2	NCK2	exp;pred
O14640	O43639	DVL1	NCK2	exp;pred
O43639	O43639	NCK2	NCK2	exp;pred
O00483	O43678	NDUFA4	NDUFA2	exp;pred
O43181	O43678	NDUFS4	NDUFA2	exp;pred
O14949	O43678	UQCRQ	NDUFA2	exp;pred
O43683	O43683	BUB1	BUB1	exp
O14640	O43683	DVL1	BUB1	exp
O00159	O43707	MYO1C	ACTN4	exp;pred
O15297	O43707	PPM1D	ACTN4	exp
O14964	O43707	HGS	ACTN4	exp
O43707	O43707	ACTN4	ACTN4	exp;pred
O00429	O43707	DNM1L	ACTN4	exp
O43708	O43708	GSTZ1	GSTZ1	exp
O14727	O43715	APAF1	TRIAP1	exp
O43482	O43739	OIP5	CYTH3	exp
