UniProt1	UniProt2	symbol1	symbol2	evidence type
P00441	Q96BD5	SOD1	PHF21A	exp
P00441	P34932	SOD1	HSPA4	exp
P00441	Q99757	SOD1	TXN2	exp
P00441	P02765	SOD1	AHSG	exp
P00441	P11142	SOD1	HSPA8	exp
P00441	P53621	SOD1	COPA	exp
P00441	P33176	SOD1	KIF5B	exp
P00441	P61970	SOD1	NUTF2	exp
P00441	Q15365	SOD1	PCBP1	exp
P00441	P00441	SOD1	SOD1	exp;ortho;pred
P00441	P22392	SOD1	NME2	exp;pred
P00441	Q9ULL5	SOD1	PRR12	exp
P00441	P62942	SOD1	FKBP1A	exp
P00441	P19388	SOD1	POLR2E	exp
P00441	Q13951	SOD1	CBFB	exp
P00441	P20700	SOD1	LMNB1	exp
P00441	P16949	SOD1	STMN1	exp
P00441	P15531	SOD1	NME1	exp
P00441	P14174	SOD1	MIF	exp
P00441	P38117	SOD1	ETFB	exp
P00441	P35754	SOD1	GLRX	exp
P00441	P04083	SOD1	ANXA1	exp
P00441	Q92918	SOD1	MAP4K1	exp
P00441	Q96CV9	SOD1	OPTN	exp
P00441	Q15493	SOD1	RGN	exp
P00441	P02768	SOD1	ALB	exp
P00441	P14314	SOD1	PRKCSH	exp
P00441	Q9Y5S9	SOD1	RBM8A	exp
P00441	P04075	SOD1	ALDOA	exp
P00441	P49591	SOD1	SARS	exp
P00441	P62873	SOD1	GNB1	exp
P00441	Q14566	SOD1	MCM6	exp
P00441	P09382	SOD1	LGALS1	exp
P00441	P63000	SOD1	RAC1	exp;ortho
P00441	Q6ICL3	SOD1	TANGO2	exp;ortho
P00441	Q9H361	SOD1	PABPC3	exp
P00441	P49736	SOD1	MCM2	exp
P00441	Q99536	SOD1	VAT1	exp
P00441	Q14974	SOD1	KPNB1	exp
P00441	P09132	SOD1	SRP19	exp;pred
P00441	P38919	SOD1	EIF4A3	exp
P00441	P07237	SOD1	P4HB	exp;ortho
P00441	Q9UM22	SOD1	EPDR1	exp
P00441	Q92522	SOD1	H1FX	exp
P00441	P10599	SOD1	TXN	exp
P00441	Q06830	SOD1	PRDX1	exp
P00441	Q8TDQ7	SOD1	GNPDA2	exp
P00441	P55263	SOD1	ADK	exp
P00441	Q9Y678	SOD1	COPG1	exp
P00441	Q15717	SOD1	ELAVL1	exp
P00441	P30041	SOD1	PRDX6	exp;pred
P00441	P55072	SOD1	VCP	exp;pred
P00441	P15313	SOD1	ATP6V1B1	exp;pred
P00441	P11586	SOD1	MTHFD1	exp
P00441	Q9BXK5	SOD1	BCL2L13	exp
P00441	Q13263	SOD1	TRIM28	exp
P00441	Q13561	SOD1	DCTN2	exp
P00441	P13639	SOD1	EEF2	exp
P00441	Q9Y230	SOD1	RUVBL2	exp
P00441	Q9NRN7	SOD1	AASDHPPT	exp
P00441	P35813	SOD1	PPM1A	exp
P00441	P12956	SOD1	XRCC6	exp
P00441	P07602	SOD1	PSAP	exp
P00441	Q9NPE3	SOD1	NOP10	exp
P00441	P09104	SOD1	ENO2	exp
P00441	P38606	SOD1	ATP6V1A	exp
P00441	Q9UL46	SOD1	PSME2	exp;pred
P00441	P13797	SOD1	PLS3	exp
P00441	P78406	SOD1	RAE1	exp
P00441	Q03252	SOD1	LMNB2	exp
P00441	P33991	SOD1	MCM4	exp
P00441	P60953	SOD1	CDC42	exp
P00441	Q13501	SOD1	SQSTM1	exp;ortho
P00441	P61586	SOD1	RHOA	exp
P00441	P60981	SOD1	DSTN	exp;pred
P00441	Q16186	SOD1	ADRM1	exp
P00441	P61956	SOD1	SUMO2	exp;pred
P00441	P04181	SOD1	OAT	exp;pred
P00441	P48739	SOD1	PITPNB	exp
P00441	Q9UBN7	SOD1	HDAC6	exp
P00441	Q7Z434	SOD1	MAVS	exp
P00441	Q96AE4	SOD1	FUBP1	exp
P00441	P50454	SOD1	SERPINH1	exp
P00441	P60228	SOD1	EIF3E	exp
P00441	P04908	SOD1	HIST1H2AB;HIST1H2AE	exp
P00441	Q8WXH0	SOD1	SYNE2	exp
P00441	P36952	SOD1	SERPINB5	exp
P00441	P49588	SOD1	AARS	exp;pred
P00441	Q7Z7K6	SOD1	CENPV	exp
P00441	Q8TCX1	SOD1	DYNC2LI1	exp
P00441	P49419	SOD1	ALDH7A1	exp
P00441	Q9Y3C8	SOD1	UFC1	exp
P00441	P52895	SOD1	AKR1C2	exp
P00441	Q96EP5	SOD1	DAZAP1	exp
P00441	Q9Y265	SOD1	RUVBL1	exp
P00441	Q9Y536	SOD1	PPIAL4A	exp
P00441	P05413	SOD1	FABP3	exp
P00441	P02511	SOD1	CRYAB	exp
P00441	Q8N1F7	SOD1	NUP93	exp
P00441	P12268	SOD1	IMPDH2	exp
P00441	P07686	SOD1	HEXB	exp
P00441	P62834	SOD1	RAP1A	exp
P00441	Q9BYZ2	SOD1	LDHAL6B	exp
P00441	Q8N684	SOD1	CPSF7	exp
P00441	Q15750	SOD1	TAB1	exp
P00441	Q13310	SOD1	PABPC4	exp
P00441	P0CG48	SOD1	UBC	exp
P00441	P68036	SOD1	UBE2L3	exp
P00441	P33992	SOD1	MCM5	exp
P00441	Q16775	SOD1	HAGH	exp;pred
P00441	P02689	SOD1	PMP2	exp
P00441	Q6NVY1	SOD1	HIBCH	exp
P00441	P15822	SOD1	HIVEP1	exp
P00441	P32119	SOD1	PRDX2	exp
P00441	Q9UL25	SOD1	RAB21	exp
P00441	P51571	SOD1	SSR4	exp
P00441	P24534	SOD1	EEF1B2	exp
P00441	Q7KZF4	SOD1	SND1	exp;pred
P00441	P50238	SOD1	CRIP1	exp
P00441	Q01844	SOD1	EWSR1	exp
P00441	Q9P2J5	SOD1	LARS	exp
P00441	P28072	SOD1	PSMB6	exp
P00441	P17661	SOD1	DES	exp
P00441	P07305	SOD1	H1F0	exp
P00441	Q92733	SOD1	PRCC	exp
P00441	P63104	SOD1	YWHAZ	exp;ortho
P00441	P46020	SOD1	PHKA1	exp
P00441	Q8WUM4	SOD1	PDCD6IP	exp
P00441	Q53EZ4	SOD1	CEP55	exp
P00441	P58546	SOD1	MTPN	exp
P00441	Q13347	SOD1	EIF3I	exp
P00441	P30101	SOD1	PDIA3	exp
P00441	Q9UKV5	SOD1	AMFR	exp
P00441	Q99497	SOD1	PARK7	exp;ortho
P00797	P07858	REN	CTSB	exp;pred
P00797	Q92824	REN	PCSK5	exp
P00797	Q9Y519	REN	TMEM184B	exp
P00797	P20645	REN	M6PR	exp
P00797	P29120	REN	PCSK1	exp
P00797	P01019	REN	AGT	exp
P00797	P00797	REN	REN	exp
P00797	Q8N4L8	REN	CCDC24	exp
P00797	Q96SI1	REN	KCTD15	exp
P00797	Q1RMZ1	REN	BMT2	exp
P00797	P51606	REN	RENBP	exp;pred
P01019	P01042	AGT	KNG1	exp;pred
P01019	P23946	AGT	CMA1	exp;pred
P01019	P57078	AGT	RIPK4	exp
P01019	Q9ULA0	AGT	DNPEP	exp
